                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4253,                 2.7492,                 1.0779,                0.54566,                0.25834,                0.29437,                0.20691,                 1.3168,                 1.8442,                 1.0209,             0.00019443,             0.00019443,             0.00019443
                      2,                 1.1755,                 1.2047,                 1.0001,                0.50518,                0.39856,                0.41705,                0.28853,                  1.225,                 1.4298,                 1.0024,             0.00036466,             0.00036466,             0.00036466
                      3,                 1.1198,                 1.0416,                0.98595,                0.52123,                0.40568,                0.44603,                0.29681,                 1.2261,                 1.2259,                 1.0127,             0.00050902,             0.00050902,             0.00050902
                      4,                 1.0846,                0.95679,                0.97644,                0.56609,                0.44147,                0.47135,                0.33109,                 1.1556,                 1.1606,                0.98299,             0.00047158,             0.00047158,             0.00047158
                      5,                 1.0502,                0.89513,                0.96522,                0.56785,                0.46951,                0.49483,                0.34894,                 1.1304,                 1.0677,                0.97837,             0.00043277,             0.00043277,             0.00043277
                      6,                 1.0074,                0.82506,                 0.9406,                0.59336,                 0.4632,                0.50425,                0.35893,                 1.1374,                 1.0353,                0.99637,             0.00039396,             0.00039396,             0.00039396
                      7,                  0.978,                0.76484,                0.93035,                0.56044,                0.49014,                0.51779,                0.36477,                 1.1169,                0.97656,                0.98451,             0.00035515,             0.00035515,             0.00035515
                      8,                0.95196,                0.72266,                0.92196,                0.63995,                0.46926,                0.53799,                0.37756,                 1.1162,                0.99072,                0.97597,             0.00031634,             0.00031634,             0.00031634
                      9,                0.93468,                 0.6942,                0.91814,                0.62138,                 0.4725,                0.53439,                0.37553,                  1.101,                0.92254,                0.97596,             0.00027754,             0.00027754,             0.00027754
                     10,                0.91716,                0.66985,                0.91368,                0.67991,                0.47671,                 0.5513,                0.39811,                 1.0788,                0.90998,                0.96737,             0.00023873,             0.00023873,             0.00023873
                     11,                 0.8995,                0.64828,                0.90712,                0.67502,                0.46053,                0.55012,                0.39668,                 1.0778,                0.90534,                0.96542,             0.00019992,             0.00019992,             0.00019992
                     12,                0.88382,                0.62985,                0.90236,                0.68098,                0.45927,                0.54918,                0.39609,                 1.0699,                0.91481,                0.96458,             0.00016111,             0.00016111,             0.00016111
